region,lon,lat
Mozambique1, 36.2093, -18.7423
Mozambique2, 34.7455, -20.6128
Nigeria1, 5.6116, 5.3431
Nigeria2, 5.9983, 4.5678
Guinea-Bissau, -15.9903, 12.1660
Miami1, -81.3953, 25.9518
Miami2, -81.8, 25.9518
Southern Mexico, -92.2333, 18.6475
West Mexico, -105.5392, 22.1299
El Salvador, -88.2425, 13.2615
Cuba1, -82.5466, 22.2618
Cuba2, -77.1971, 20.7480
Colombia, -77.2351, 3.7586
Venezuela, -62.7534, 10.2862
Amapa Brazil, -50.2412, 1.6233
Belem Brazil, -47.8580, -1.2118
Sao Luis Brazil, -44.6882, -2.4471
Sao Luis Brazil 2, -46.7607, -1.1422
Myanmar1, 93.7129, 19.5124
Madagascar, 46.6829, -15.7068
Myanmar2, 95.1055, 16.0246
Myanmar3, 98.6249, 12.1958
Vietnam1, 106.8599, 10.5329
Vietnam2, 104.9760, 8.7674
India, 88.8, 21.8
